Iteration,Minimum fractal Diff,Band with Min Diff,New Shape,New X
62,0.00025955874225891407,137,"(2000, 138)",3.4031388630738846
63,0.0001444779362431703,78,"(2000, 137)",3.4029943851376414
64,0.00033636640875034374,135,"(2000, 136)",3.4033307515463918
65,0.0014405106696755432,115,"(2000, 135)",3.401890240876716
66,0.0022995496475375354,125,"(2000, 134)",3.3995906912291787
67,0.00111166891534209,112,"(2000, 133)",3.4007023601445208
68,0.0013024558682372955,126,"(2000, 132)",3.3993999042762835
69,0.0038466773964662693,59,"(2000, 131)",3.4032465816727497
70,0.00016057936089364233,128,"(2000, 130)",3.403086002311856
71,0.00010804037508460596,128,"(2000, 129)",3.4031940426869407
72,0.0003690657755517357,70,"(2000, 128)",3.402824976911389
73,0.0012445951350730233,126,"(2000, 127)",3.401580381776316
74,0.0012662354491697059,5,"(2000, 126)",3.4028466172254856
75,0.0002907921575348027,65,"(2000, 125)",3.4031374093830205
76,1.9720217923957506e-05,66,"(2000, 124)",3.4031571296009444
77,4.19504071818011e-05,118,"(2000, 123)",3.403199080008126
78,0.000657323827121914,77,"(2000, 122)",3.403856403835248
79,0.0001434297430891185,56,"(2000, 121)",3.403712974092159
80,0.0002773713580213055,69,"(2000, 120)",3.4039903454501803
81,0.0004301568636866371,99,"(2000, 119)",3.4035601885864937
82,0.0027121577179718415,66,"(2000, 118)",3.400848030868522
83,4.953347072733649e-05,20,"(2000, 117)",3.400897564339249
84,0.0001275866538539283,49,"(2000, 116)",3.401025150993103
85,7.34294374904465e-05,92,"(2000, 115)",3.4010985804305935
86,0.0002477299686898249,29,"(2000, 114)",3.4013463103992834
87,2.5474853538209885e-05,87,"(2000, 113)",3.4013717852528216
88,0.00011989377841725712,103,"(2000, 112)",3.401491679031239
89,0.00019482323487096664,110,"(2000, 111)",3.401296855796368
90,0.0003026644933270539,39,"(2000, 110)",3.400994191303041
91,2.3635274760902547e-05,97,"(2000, 109)",3.40097055602828
92,1.5537543443411295e-05,69,"(2000, 108)",3.4009550184848365
93,0.00010925460968147505,102,"(2000, 107)",3.400845763875155
94,0.0004907596640779666,53,"(2000, 106)",3.400355004211077
95,0.00032853020694512125,96,"(2000, 105)",3.400683534418022
96,0.0002458735810630941,61,"(2000, 104)",3.400437660836959
97,0.00019756437160856066,19,"(2000, 103)",3.4006352252085676
98,4.580116677921353e-06,69,"(2000, 102)",3.4006306450918897
