Bands,C,Gamma,Kernel,Train_Score,Test_Score,Train_Kappa,Test_Kappa,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
22,5,0.05,rbf,0.8815161128736017,0.8513755747798301,0.839174384733358,0.802117983961594,0.953114042411087,0.9488738212142468,0.9374581760613607,0.9316784154570619
22,5,0.05,poly,0.9011187176490232,0.7186501441820591,0.8667101426772635,0.64846789572557,0.9371180497578895,0.93359831657704,0.9155507271700106,0.9109510251458731
22,5,0.005,rbf,0.7797962932042077,0.7742186891123062,0.6949643494456447,0.6845269991128898,0.8816496911003506,0.8743667679837892,0.8400073184253283,0.8287392965848481
22,5,0.005,poly,0.6685256303222574,0.6663549216740706,0.5288115109934934,0.5226364458055969,0.4346969443980631,0.4389369495752474,0.0,0.0
22,5,scale,rbf,0.9086324929036567,0.8161483906164757,0.8773036700381064,0.7652953201490413,0.9846718984805477,0.9031252435507755,0.9796649127705004,0.8732378877672998
22,5,scale,poly,0.9274002337618968,0.48616631595355,0.9031789186543069,0.405276405204802,0.9902487894473201,0.856441430909516,0.9870806408791948,0.8127881596661876
22,50,0.5,rbf,0.9421606278176657,0.56363494661367,0.923005744328756,0.4877784490394066,0.9895808983135749,0.9109188683656769,0.9861927863688609,0.8831683824072873
22,50,0.5,poly,0.9638670896643847,0.3057439014885823,0.9520247193810949,0.20439585020968298,0.99268659208549,0.8759254929467696,0.990313694242698,0.8376819629837722
22,50,0.1,rbf,0.9227583903823676,0.6414153222663861,0.8968473652324433,0.5723307452149188,0.9833361162130573,0.861819032031798,0.9778891635681521,0.8205785040672364
22,50,0.1,poly,0.9319418934713641,0.43613124464188296,0.9093095704441647,0.3559079417988791,0.9837702454499917,0.8477905073649754,0.978469038916266,0.8028215708042565
22,50,0.05,rbf,0.9141092002003673,0.7092977944041774,0.884944716068233,0.6443035603474778,0.9780597762564702,0.8541812797131946,0.970857207009056,0.8108261855607908
22,50,0.05,poly,0.9205877441976957,0.50276673680929,0.8939266541225834,0.42628336397889577,0.9655702120554349,0.8646247369651625,0.9541577306364074,0.8241755387000165
22,50,0.005,rbf,0.8683586575388211,0.8532460447354064,0.8207853565856379,0.8023181206120997,0.9530472532977124,0.9489517574623958,0.9373466349212526,0.9316672726734624
22,50,0.005,poly,0.7565536817498748,0.7503701971787078,0.6617352162356038,0.6490873825820815,0.6899315411587911,0.6914503935780532,0.5587093553053395,0.5578248374239307
22,50,scale,rbf,0.9276006011020204,0.6303483750292261,0.9034052609533164,0.5614011594200058,0.9905827350141927,0.9210505806250487,0.9875224600418001,0.896296088203309
22,50,scale,poly,0.9397228251794958,0.3506351804224145,0.9197545583041848,0.26489247638885516,0.9938887961262314,0.8283064453277219,0.9919071650678289,0.7743601307622269
22,100,0.5,rbf,0.9480714643513107,0.5133660665575559,0.9309375740489295,0.43409201312224943,0.9910502588078143,0.9306367391473774,0.9881429501727783,0.9087587600228245
22,100,0.5,poly,0.9693437969610953,0.3232016210739615,0.9593073631522864,0.21779428433522552,0.9937218233427951,0.8316577039981295,0.9916860804965558,0.7791350778502358
22,100,0.1,rbf,0.9262648188345299,0.6014340269659418,0.901605036574645,0.5311419557761852,0.985606946067791,0.8576104746317512,0.9809145026839377,0.8150976284432216
22,100,0.1,poly,0.9355819001502755,0.4002026342451874,0.9141859882177512,0.31947044117295187,0.986007680748038,0.8477125711168264,0.9814462044209579,0.80255450094586
22,100,0.05,rbf,0.9189180163633328,0.6389213623256177,0.8916048281187504,0.5699281968612511,0.9825012522958758,0.8538695347205986,0.976776993188599,0.8104827064989647
22,100,0.05,poly,0.9247954583402905,0.5058062504871016,0.8996498282401211,0.4254525120775813,0.9746535314743697,0.850907957290936,0.9663056416768895,0.8068738098236187
22,100,0.005,rbf,0.8839873100684589,0.8353986439092822,0.8427667492935419,0.7829065359322975,0.95722157288362,0.9624347283921753,0.9429785392326075,0.9500698383755215
22,100,0.005,poly,0.7730171981966939,0.7605798456862287,0.6851210047441234,0.6636992638005341,0.7071631324094173,0.7103109656301145,0.5847789571327893,0.5865106905316456
22,100,scale,rbf,0.9318417098013024,0.5833528173953706,0.9091791859860144,0.512940008435757,0.991784939054934,0.945054945054945,0.989117693617771,0.9275597345469367
22,100,scale,poly,0.9442310903322758,0.3100303951367781,0.9258127974516565,0.21468863294221652,0.99512439472366,0.8212142467461616,0.9935437037584637,0.7639799966801671
22,500,0.5,rbf,0.960828185005844,0.45717403164211673,0.9479670559885915,0.3704787190990788,0.9936216396727333,0.972098823162653,0.9915527289744844,0.9630269378998053
22,500,0.5,poly,0.9725496744030723,0.2998207466292573,0.9636029771602127,0.20070085888301858,0.9959258640841543,0.8040682721533785,0.9946053896635776,0.7404328827981883
22,500,0.1,rbf,0.9365837368508934,0.5185877951835398,0.9155448064996166,0.4452787320657853,0.9886124561696443,0.8770945366690047,0.9849081569358539,0.8395774043782565
22,500,0.1,poly,0.9449991651360828,0.3005221728625984,0.9268348314037262,0.20369516997857418,0.98817832693271,0.8523108097576183,0.9843321228315881,0.8079756285466243
22,500,0.05,rbf,0.9280347303389548,0.5337074273244486,0.904052549691685,0.46354575723341096,0.9865753882117215,0.8477125711168264,0.982202083027033,0.8024977018645372
22,500,0.05,poly,0.9327433628318584,0.41734860883797054,0.9103874849156408,0.33734714348114825,0.9848054767072967,0.8482581248538695,0.9798474159198483,0.8033868301988621
22,500,0.005,rbf,0.9015862414426449,0.7046216195152365,0.8675995026448724,0.6363531278628939,0.9760894974119219,0.845608292416803,0.9682304339783038,0.7999250965073177
22,500,0.005,poly,0.8477208215060945,0.8164601356090718,0.7913960302014915,0.7474997089733451,0.7106695608615795,0.718260462941314,0.589915675518631,0.5985642651676983
22,500,scale,rbf,0.9437635665386542,0.5099368716389993,0.9251772090638626,0.4298238006454842,0.9946568709300384,0.9781778505182761,0.9929243005873011,0.9710512834843119
22,500,scale,poly,0.9550843212556354,0.2875847556698621,0.9403168047122488,0.19010755047802985,0.9970612790115211,0.7915984724495363,0.9961091198716964,0.7229894748641653
